Question,Answer
What are the danger signs in a newborn that require immediate medical attention?,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
When can I start family planning after delivery?,"Your mode of delivery depends on your health, baby's position, and any complications. Most healthy pregnancies result in normal vaginal delivery. Discuss your birth plan with your midwife, but stay flexible as circumstances may change. Prepare for delivery by knowing the signs of labor."
"What is the difference between the pill, injection, and implant for family planning?","These are all hormonal contraceptives but differ in how they're used and duration: COMBINED ORAL CONTRACEPTIVE PILL (COC): Contains estrogen + progesterone. Take 1 pill same time every day for 21 days, then 7-day break (or 7 inactive pills), then start new pack. Effectiveness: 91-99% with perfect use. Consult your midwife for personalized advice."
My mother-in-law says I should not eat eggs during pregnancy because they will make delivery difficult. Is this true?,"Your mode of delivery depends on your health, baby's position, and any complications. Most healthy pregnancies result in normal vaginal delivery. Discuss your birth plan with your midwife, but stay flexible as circumstances may change. Prepare for delivery by knowing the signs of labor."
Should I give my baby water or gripe water in the first days of life?,"NO! Do not give water, gripe water, herbal drinks, or anything except breast milk for the first 6 months. TRADITIONAL PRACTICE: In many Ghanaian communities, it's customary to give newborns water, gripe water, glucose water, or herbal preparations in first days before breastfeeding or alongside breast milk. Consult your midwife for personalized advice."
Is it safe to use traditional herbs during pregnancy?,"Most foods are safe during pregnancy when properly prepared. Ensure it is fresh and well-cooked if applicable. If you have specific health conditions, consult your midwife about dietary restrictions."
How is my pregnancy covered under NHIS? What services are free?,"Great news! Since 2008, Ghana has FREE MATERNAL HEALTHCARE under the National Health Insurance Scheme (NHIS). Here's what's covered: REGISTRATION: Pregnant women get FREE NHIS registration - no premium payment, no three-month waiting period. Consult your midwife for personalized advice."
Where should I deliver my baby - at home with TBA or at the health facility?,"You should deliver at a HEALTH FACILITY with skilled birth attendants (doctor, midwife, or nurse). This is safest for you and your baby. Here's why: FACILITY DELIVERY BENEFITS: (1) Skilled attendants trained to manage normal delivery and complications. Consult your midwife for personalized advice."
What is a CHPS compound and what services do they provide?,"CHPS stands for Community-Based Health Planning and Services. CHPS compounds are small health posts located in communities to bring basic healthcare closer to people, especially in rural areas. There are about 5,876 CHPS compounds across Ghana. Consult your midwife for personalized advice."
"I feel very sad after delivery, I don't want to take care of my baby, and I think about harming myself. What's wrong with me?","Your mode of delivery depends on your health, baby's position, and any complications. Most healthy pregnancies result in normal vaginal delivery. Discuss your birth plan with your midwife, but stay flexible as circumstances may change. Prepare for delivery by knowing the signs of labor."
Is it normal to feel anxious and worried during pregnancy?,"Mild it can be normal during pregnancy due to hormonal and physical changes. However, if it's severe, persistent, or comes with warning signs like bleeding, fever, or severe pain, see your healthcare provider promptly."
My 3-day-old baby's skin and eyes are yellow. Is this normal?,"Mild this can be normal during pregnancy due to hormonal and physical changes. However, if it's severe, persistent, or comes with warning signs like bleeding, fever, or severe pain, see your healthcare provider promptly."
How often should my newborn baby poop and pee?,"Newborn stool and urine patterns are important indicators of adequate feeding and health. STOOLS (POOP): First 24-48 hours: Meconium - sticky, black/dark green, tar-like first stool. Baby should pass within 24 hours of birth. Consult your midwife for personalized advice."
Should I bathe my newborn baby every day?,"Bathing newborns requires special considerations. Here are evidence-based recommendations: FIRST BATH TIMING: Wait at least 24 hours after birth before first bath, preferably 48-72 hours. Here's why: (1) Vernix (white creamy coating on newborn skin) is protective - moisturizes skin, antibacterial properties, helps regulate temperature. Consult your midwife for personalized advice."
Can I use shea butter or coconut oil on my baby's skin?,"Yes, pure shea butter and coconut oil are generally safe and beneficial for baby's skin after the neonatal period (first 28 days), with some precautions. SHEA BUTTER: Pure, unrefined shea butter is traditional in Ghana and has benefits: (1) Natural moisturizer for dry skin. (2) Anti-inflammatory properties. Consult your midwife for personalized advice."
What is the LAM method of family planning and does it really work?,"LAM stands for Lactational Amenorrhea Method - it's natural family planning using exclusive breastfeeding to prevent pregnancy. When used correctly, LAM is 98-99% effective for first 6 months postpartum. HOW LAM WORKS: Exclusive, frequent breastfeeding suppresses ovulation (release of eggs) by keeping prolactin hormone high and suppressing ovulation hormones. Consult your midwife for personalized advice."
I want permanent family planning. What are my options?,"If you're certain you want no more children, permanent contraception (sterilization) is an option. These methods are PERMANENT and IRREVERSIBLE (extremely difficult and expensive to reverse), so choose only if you're absolutely sure. Consult your midwife for personalized advice."
How can I involve my husband in pregnancy care?,"Partner involvement improves maternal and newborn outcomes significantly. Here are ways your husband can actively participate: DURING PREGNANCY: (1) ATTEND ANC VISITS: Encourage him to come to at least some visits, especially: booking visit, ultrasound scan, birth preparedness counseling. Consult your midwife for personalized advice."
I'm 16 years old and pregnant. What special care do I need?,"Teenage pregnancy (adolescent pregnancy, under 20 years) requires special attention because young mothers face higher risks. However, with good care, you and your baby can be healthy. Don't be ashamed - focus on getting the best care possible. Consult your midwife for personalized advice."
When is the best time for my first ultrasound scan?,"The optimal first ultrasound (dating scan) is between 8-14 weeks of pregnancy, ideally before 16 weeks at your booking visit. This early scan: (1) Confirms pregnancy location (intrauterine vs ectopic), (2) Establishes accurate gestational age (±5-7 days accuracy), (3) Determines expected delivery date, (4) Confirms fetal viability (heartbeat visible from 6 weeks), (5) Detects multiple pregnancy (twins/triplets), (6) Identifies some major abnormalities. Consult your midwife for personalized advice."
I'm 8 months pregnant and my baby is in breech position. What does this mean?,"Breech means baby's buttocks or feet are positioned to come out first instead of head-first (cephalic). Types: Frank breech (buttocks first, legs up), Complete breech (buttocks first, legs crossed), Footling breech (one or both feet first). Prevalence: 25% at 28 weeks, only 3-4% at term (most turn naturally). Consult your midwife for personalized advice."
Why do I need tetanus vaccination during pregnancy?,"This happens due to the hormonal and physical changes your body undergoes during pregnancy. It's usually normal, but discuss persistent or severe symptoms with your healthcare provider to rule out complications."
What is the partograph and why is it used during labor?,"The partograph is a graphical record of labor progress, maternal condition, and fetal wellbeing used by skilled birth attendants. It plots: (1) Cervical dilatation over time (should progress ~1cm/hour in active labor), (2) Fetal heart rate (normal 110-160 bpm), (3) Contractions (frequency, duration, strength), (4) Fetal descent, (5) Maternal vital signs (BP, pulse, temperature), (6) Urine output, (7) Medications given. Consult your midwife for personalized advice."
How can I prevent and treat heartburn during pregnancy?,"To prevent heartburn: eat small frequent meals, avoid spicy and fatty foods, don't eat close to bedtime, sleep propped up, avoid bending over after meals, and wear loose clothing. Antacids can help - check with your midwife."
I have cravings for clay and sand during pregnancy. Is this dangerous?,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Should I eat more food when pregnant?,Quality matters more than quantity. Energy needs increase only modestly: (1) First trimester: Same as pre-pregnancy (no extra calories needed). (2) Second trimester: Add 340 calories daily above baseline. Consult your midwife for personalized advice.
What is gestational diabetes and how is it managed?,"Gestational diabetes needs careful management to protect you and baby. Monitor blood sugar as advised, follow your meal plan, stay active, and take medication if prescribed. Well-controlled diabetes leads to healthy outcomes. Baby's size will be monitored."
I'm HIV-positive and just found out I'm pregnant. What should I do?,"With proper treatment, HIV-positive mothers can have healthy babies. Take your ARV medications as prescribed, attend all clinic appointments, and follow PMTCT guidelines. Your baby will be tested and may receive preventive treatment. Breastfeeding guidance depends on your situation."
How long does normal labor usually last?,"Labor duration varies significantly. FIRST-TIME MOTHERS: First stage (cervix opening 0-10cm): Average 8-18 hours, can be up to 20 hours. Active phase (4-10cm): Average 4-8 hours. Consult your midwife for personalized advice."
When can I start taking a bath after delivery?,"Your mode of delivery depends on your health, baby's position, and any complications. Most healthy pregnancies result in normal vaginal delivery. Discuss your birth plan with your midwife, but stay flexible as circumstances may change. Prepare for delivery by knowing the signs of labor."
My nipples are cracked and painful. Should I stop breastfeeding?,"Breastfeeding is best for your baby. Start within the first hour after birth. Feed on demand, usually 8-12 times daily. Ensure proper latch - baby's mouth should cover the areola, not just the nipple. Seek help from your midwife if you have difficulties."
What should I know about prenatal care in pregnancy?,Important information about prenatal care in Ghana. This topic is essential for maternal health. Consult healthcare provider for personalized guidance. All relevant services available FREE under NHIS at health facilities nationwide.
What should I know about nutrition in pregnancy?,Important information about nutrition in Ghana. This topic is essential for maternal health. Consult healthcare provider for personalized guidance. All relevant services available FREE under NHIS at health facilities nationwide.
What should I know about maternal conditions in pregnancy?,Important information about maternal conditions in Ghana. This topic is essential for maternal health. Consult healthcare provider for personalized guidance. All relevant services available FREE under NHIS at health facilities nationwide.
What should I know about delivery labor in pregnancy?,"Your mode of delivery depends on your health, baby's position, and any complications. Most healthy pregnancies result in normal vaginal delivery. Discuss your birth plan with your midwife, but stay flexible as circumstances may change. Prepare for delivery by knowing the signs of labor."
What should I know about postpartum care in pregnancy?,Important information about postpartum care in Ghana. This topic is essential for maternal health. Consult healthcare provider for personalized guidance. All relevant services available FREE under NHIS at health facilities nationwide.
What should I know about breastfeeding in pregnancy?,"Breastfeeding is best for your baby. Start within the first hour after birth. Feed on demand, usually 8-12 times daily. Ensure proper latch - baby's mouth should cover the areola, not just the nipple. Seek help from your midwife if you have difficulties."
What should I know about newborn care in pregnancy?,Important information about newborn care in Ghana. This topic is essential for maternal health. Consult healthcare provider for personalized guidance. All relevant services available FREE under NHIS at health facilities nationwide.
What should I know about family planning in pregnancy?,Important information about family planning in Ghana. This topic is essential for maternal health. Consult healthcare provider for personalized guidance. All relevant services available FREE under NHIS at health facilities nationwide.
What should I know about mental health in pregnancy?,Important information about mental health in Ghana. This topic is essential for maternal health. Consult healthcare provider for personalized guidance. All relevant services available FREE under NHIS at health facilities nationwide.
What should I know about traditional practices in pregnancy?,Important information about traditional practices in Ghana. This topic is essential for maternal health. Consult healthcare provider for personalized guidance. All relevant services available FREE under NHIS at health facilities nationwide.
What should I know about healthcare access in pregnancy?,Important information about healthcare access in Ghana. This topic is essential for maternal health. Consult healthcare provider for personalized guidance. All relevant services available FREE under NHIS at health facilities nationwide.
What should I know about high risk pregnancy in pregnancy?,Important information about high risk pregnancy in Ghana. This topic is essential for maternal health. Consult healthcare provider for personalized guidance. All relevant services available FREE under NHIS at health facilities nationwide.
What is focused antenatal care?,"Focused ANC (FANC) is goal-oriented approach adopted by WHO in 2016. Instead of many routine visits, focuses on quality over quantity with specific objectives each visit. Ghana follows WHO 2016 model: minimum 4 focused visits for healthy pregnancies, 8 contacts optimal. Consult your midwife for personalized advice."
Can I attend ANC at a facility different from where I will deliver?,"You CAN attend ANC at different facility from delivery, but STRONGLY NOT RECOMMENDED for safety. PROBLEMS: (1) Fragmented care - delivery facility lacks your complete history, test results, identified complications. (2) Emergency risks - unfamiliar team managing complications without knowing your risk factors. Consult your midwife for personalized advice."
What is the sickling test and why is it important?,"Standard pregnancy tests include: blood tests (anemia, HIV, syphilis, Hepatitis B, blood group, sickling), urine tests, blood pressure, and ultrasound scans. These are free under NHIS. Tests help detect problems early for timely treatment."
Ultrasound question 0,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 1,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 2,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 3,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 4,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 5,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 6,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 7,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 8,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 9,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 10,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 11,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 12,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 13,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 14,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 15,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 16,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 17,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 18,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 19,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 20,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 21,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 22,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 23,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 24,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 25,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 26,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 27,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 28,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Ultrasound question 29,"Ultrasound scans are safe and painless, using sound waves to create images of your baby. Your first scan around 12 weeks confirms your due date. The 20-week scan checks baby's growth and development. Scans are free under NHIS at your antenatal clinic."
Danger sign 0,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 1,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 2,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 3,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 4,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 5,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 6,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 7,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 8,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 9,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 10,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 11,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 12,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 13,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 14,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
